railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
1182,008895612,Viane-Moerbeke,Viane-Moerbeke,Viane-Moerbeke,http://live.dbpedia.org/resource/Viane-Moerbeke,3.91734,50.751978
1184,008896230,Vichte,Vichte,Vichte,http://live.dbpedia.org/resource/Vichte,3.391627,50.833662
1185,008845146,Vielsalm,Vielsalm,Vielsalm,http://live.dbpedia.org/resource/Vielsalm,5.909209,50.278932
1186,008895489,Vijfhuizen,Vijfhuizen,Vijfhuizen,http://live.dbpedia.org/resource/Vijfhuizen,3.98125,50.94325
1187,008884632,Ville-Pommeroeul,Ville-Pommeroeul,Ville-Pommeroeul,http://live.dbpedia.org/resource/Ville-Pommeroeul,3.724245,50.464544
1189,008872579,Villers-la-Ville,Villers-la-Ville,Villers-la-Ville,http://live.dbpedia.org/resource/Villers-la-Ville,4.533348,50.578104
1192,008811189,Vilvoorde,Vilvoorde,Vilvoorde,http://live.dbpedia.org/resource/Vilvoorde,4.432826,50.924581
1194,008866407,Virton,Virton,Virton,http://live.dbpedia.org/resource/Virton,5.519122,49.560822
1195,008846201,Wezet,Wezet,Wezet,http://live.dbpedia.org/resource/Wezet,5.692544,50.73776
1198,008866118,Viville,Viville,Viville,http://live.dbpedia.org/resource/Viville,5.786525,49.688239
12,008886546,Acren,Acren,Acren,http://live.dbpedia.org/resource/Acren,3.84709,50.733098
120,008811734,Basse-Wavre,Basse-Wavre,Basse-Wavre,http://live.dbpedia.org/resource/Basse-Wavre,4.621653,50.724421
1202,008841327,Voroux,Voroux,Voroux,http://live.dbpedia.org/resource/Voroux,5.431066,50.660752
1206,008893815,Waarschoot,Waarschoot,Waarschoot,http://live.dbpedia.org/resource/Waarschoot,3.61535,51.15461
1207,008873007,Walcourt,Walcourt,Walcourt,http://live.dbpedia.org/resource/Walcourt,4.435877,50.25922
121,008883436,Opzullik,Opzullik,Opzullik,http://live.dbpedia.org/resource/Opzullik,3.935863,50.662386
1212,008896149,Waregem,Waregem,Waregem,http://live.dbpedia.org/resource/Waregem,3.42551,50.89246
1213,008841400,Borgworm,Borgworm,Borgworm,http://live.dbpedia.org/resource/Borgworm,5.249475,50.694549
1218,008814266,Waterloo,Waterloo,Waterloo,http://live.dbpedia.org/resource/Waterloo,4.383485,50.715418
1219,008811429,Watermaal,Watermaal,Watermaal,http://live.dbpedia.org/resource/Watermaal,4.399887,50.80917
1223,008811726,Waver,Waver,Waver,http://live.dbpedia.org/resource/Waver,4.604778,50.716267
1224,008822251,Weerde,Weerde,Weerde,http://live.dbpedia.org/resource/Weerde,4.470935,50.977447
1226,008844503,Welkenraedt,Welkenraedt,Welkenraedt,http://live.dbpedia.org/resource/Welkenraedt,5.975386,50.659705
1228,008895851,Welle,Welle,Welle,http://live.dbpedia.org/resource/Welle,4.050617,50.903276
1229,008896396,Wervik,Wervik,Wervik,http://live.dbpedia.org/resource/Wervik,3.04698,50.78186
1230,008822525,Wespelaar-Tildonk,Wespelaar-Tildonk,Wespelaar-Tildonk,http://live.dbpedia.org/resource/Wespelaar-Tildonk,4.638014,50.958547
1231,008832250,Zolder,Zolder,Zolder,http://live.dbpedia.org/resource/Zolder,5.33058,51.033383
1232,008821709,Wolfstee,Wolfstee,Wolfstee,http://live.dbpedia.org/resource/Wolfstee,4.784744,51.16853
1234,008893559,Wetteren,Wetteren,Wetteren,http://live.dbpedia.org/resource/Wetteren,3.88188,51.0016
1235,008896370,Wevelgem,Wevelgem,Wevelgem,http://live.dbpedia.org/resource/Wevelgem,3.183519,50.811522
1238,008833233,Wezemaal,Wezemaal,Wezemaal,http://live.dbpedia.org/resource/Wezemaal,4.747681,50.95626
1242,008833175,Wijgmaal,Wijgmaal,Wijgmaal,http://live.dbpedia.org/resource/Wijgmaal,4.701478,50.922745
1244,008821436,Wildert,Wildert,Wildert,http://live.dbpedia.org/resource/Wildert,4.463349,51.428091
1245,008822608,Willebroek,Willebroek,Willebroek,http://live.dbpedia.org/resource/Willebroek,4.35602,51.066344
1248,008893211,Wondelgem,Wondelgem,Wondelgem,http://live.dbpedia.org/resource/Wondelgem,3.719075,51.088357
